060813.40,-32735.69028125981,-10122.205638158872
060813.50,-32735.690291570678,-10122.196589216815,1.5719357820094226
060813.60,-32735.690291570678,-10122.196589216815,0.0
060813.70,-32735.690291570678,-10122.196589216815,0.0
060813.80,-32735.690291570678,-10122.196589216815,1.5719357040147752
060813.90,-32735.69030188084,-10122.187540274757,0.001139404670757285
060814.00,-32735.67919731978,-10122.196576575969,0.0
060814.10,-32735.69030188084,-10122.187540274757,2.4585255333080447
060814.20,-32735.69030188084,-10122.187540274757,0.0011394033590963557
060814.30,-32735.679207629943,-10122.187527633925,0.6853460933816279
060814.40,-32735.67921794152,-10122.178478689577,0.0
060814.50,-32735.679207629943,-10122.187527633925,0.0
060814.60,-32735.67921794152,-10122.178478689577,1.571935860117252
060814.70,-32735.67921794152,-10122.178478689577,0.0
060814.80,-32735.67921794152,-10122.178478689577,0.0
060814.90,-32735.67921794152,-10122.178478689577,0.0
060815.00,-32735.67921794152,-10122.178478689577,0.0
060815.10,-32735.67921794152,-10122.178478689577,1.5719356259096349
060815.20,-32735.679228250974,-10122.169429749832,1.5719356259096349
060815.30,-32735.679228250974,-10122.169429749832,0.0
060815.40,-32735.679228250974,-10122.169429749832,0.0
060815.50,-32735.679228250974,-10122.169429749832,0.0011394013187475307
060815.60,-32735.668133999367,-10122.169417109022,1.571935782010797
060815.70,-32735.679238561843,-10122.160380807787,2.4585255944174302
060815.80,-32735.679238561843,-10122.160380807787,0.0
060815.90,-32735.679238561843,-10122.160380807787,1.5719357036141164
060816.00,-32735.679248872002,-10122.15133186574,1.5719357036141164
060816.10,-32735.679248872002,-10122.15133186574,0.0
060816.20,-32735.679248872002,-10122.15133186574,0.0
060816.30,-32735.679248872002,-10122.15133186574,0.0
060816.40,-32735.679248872002,-10122.15133186574,1.5719357040170656
060816.50,-32735.679259182165,-10122.1422829237,1.5719357040170656
060816.60,-32735.679259182165,-10122.1422829237,0.0
060816.70,-32735.679259182165,-10122.1422829237,-0.6830670912362001
060816.80,-32735.668154620398,-10122.15131922495,0.001139398741260088
060816.90,-32735.668164929848,-10122.142270282919,2.4585255623535933
060817.00,-32735.679259182165,-10122.1422829237,1.5719357821242277
060817.10,-32735.66817524072,-10122.133221338581,0.0
060817.20,-32735.679259182165,-10122.1422829237,-1.569656871643976
060817.30,-32735.668164929848,-10122.142270282919,0.6853459961091692
060817.40,-32735.66817524072,-10122.133221338581,1.5719357821242277
060817.50,-32735.66817524072,-10122.133221338581,2.458525560776818
060817.60,-32735.679279802487,-10122.124185037303,2.458525560776818
060817.70,-32735.679279802487,-10122.124185037303,-1.5696569495731856
060817.80,-32735.679269492324,-10122.133233979346,1.5719357043306166
060817.90,-32735.679279802487,-10122.124185037303,1.5719357040166075
060818.00,-32735.679279802487,-10122.124185037303,0.0
060818.10,-32735.679279802487,-10122.124185037303,0.0
060818.20,-32735.679279802487,-10122.124185037303,0.0
060818.30,-32735.679279802487,-10122.124185037303,2.4585255593971405
060818.40,-32735.690384364254,-10122.115148735998,0.0
060818.50,-32735.679279802487,-10122.124185037303,0.0011393953251727068
060818.60,-32735.679290113356,-10122.115136095255,0.6853459013322786
060818.70,-32735.66819586175,-10122.115123454512,0.0011393952523157482
060818.80,-32735.66819586175,-10122.115123454512,0.0
060818.90,-32735.66819586175,-10122.115123454512,-3.1404532583374776
060819.00,-32735.679290113356,-10122.115136095255,-1.5696569499740736
060819.10,-32735.66818555159,-10122.124172396547,0.0011393952523157844
060819.20,-32735.66819586175,-10122.115123454512,1.5719357036157195
060819.30,-32735.66819586175,-10122.115123454512,0.0
060819.40,-32735.66819586175,-10122.115123454512,0.0
060819.50,-32735.66819586175,-10122.115123454512,0.0
060819.60,-32735.66819586175,-10122.115123454512,0.0011393956348441907
060819.70,-32735.65710161227,-10122.115110813767,1.571935704129528
060819.80,-32735.66820617191,-10122.106074514782,-3.1404532578362576
060819.90,-32735.66819586175,-10122.115123454512,0.0
060820.00,-32735.66820617191,-10122.106074514782,1.5719357043079385
060820.10,-32735.66820617191,-10122.106074514782,0.0
060820.20,-32735.66820617191,-10122.106074514782,0.0
060820.30,-32735.66820617191,-10122.106074514782,1.5719357820117132
060820.40,-32735.66821648278,-10122.097025572744,1.5719357820117132
060820.50,-32735.66821648278,-10122.097025572744,0.0
060820.60,-32735.66821648278,-10122.097025572744,-3.140453260140638
060820.70,-32735.679310734384,-10122.097038213467,2.4585254336220865
060820.80,-32735.679321044547,-10122.087989269117,0.001139393330463867
060820.90,-32735.66821648278,-10122.097025572744,0.0011393922285954834
060821.00,-32735.668226792233,-10122.087976628407,2.4585254952913917
060821.10,-32735.690425606314,-10122.07895296777,2.755501498407098
060821.20,-32735.690425606314,-10122.07895296777,0.0
060821.30,-32735.690425606314,-10122.07895296777,1.5719356256185528
060821.40,-32735.690435915767,-10122.069904025713,0.0
060821.50,-32735.690425606314,-10122.07895296777,0.0
060821.60,-32735.690435915767,-10122.069904025713,1.5719356256185528
060821.70,-32735.690435915767,-10122.069904025713,0.0011393902424862575
060821.80,-32735.67934166487,-10122.069891385026,1.5719357821878333
060821.90,-32735.690446226636,-10122.060855083657,2.458525555849397
060822.00,-32735.690446226636,-10122.060855083657,0.0
060822.10,-32735.690446226636,-10122.060855083657,0.0
060822.20,-32735.690446226636,-10122.060855083657,0.0
060822.30,-32735.690446226636,-10122.060855083657,0.0
060822.40,-32735.690446226636,-10122.060855083657,0.0
060822.50,-32735.690446226636,-10122.060855083657,2.4585254298059724
060822.60,-32735.701550788403,-10122.05181877996,1.5719357033230148
