X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-32718.272297800195,-10143.10496839482,105.6,1721193903.526,-0.4140625,1.6015625,0.0
-32718.272173108617,-10143.104972014751,105.5,1721193903.664,-0.4140625,1.6015625,0.0
-32718.272173108617,-10143.104972014751,105.6,1721193903.739,-0.4140625,1.6015625,0.0
-32718.27214443694,-10143.105011350031,105.6,1721193903.814,-0.4140625,1.6015625,0.0
-32718.272093809755,-10143.105101129382,105.6,1721193903.889,-0.4140625,1.6015625,0.0
-32718.271092179966,-10143.113025995155,105.5,1721193903.964,-0.40625,1.6015625,0.0
-32718.271092179966,-10143.113025995155,105.5,1721193904.039,-0.40625,1.6015625,0.0
-32718.27102825436,-10143.112947847583,105.6,1721193904.114,-0.40625,1.6015625,0.0
-32718.27097176852,-10143.112939664308,105.5,1721193904.204,-0.40625,1.6015625,0.0
-32718.27187823703,-10143.105240098505,105.5,1721193904.264,-0.4140625,1.6015625,0.0
-32718.27091191448,-10143.11299260629,105.6,1721193904.339,-0.40625,1.6015625,0.0
-32718.270868540327,-10143.113063622392,105.6,1721193904.429,-0.40625,1.6015625,0.0
-32718.27083322776,-10143.113224673663,105.5,1721193904.489,-0.40625,1.6015625,0.0
-32718.270754869976,-10143.113275666794,105.5,1721193904.688,-0.40625,1.6015625,0.0
-32718.27172231691,-10143.10552329924,105.6,1721193904.714,-0.4140625,1.6015625,0.0
-32718.27168154636,-10143.10558257388,105.6,1721193904.789,-0.4140625,1.6015625,0.0
-32718.27164138672,-10143.105582147697,105.6,1721193904.864,-0.4140625,1.6015625,0.0
-32718.27164138672,-10143.105582147697,105.6,1721193904.939,-0.4140625,1.6015625,0.0
-32718.271595490703,-10143.10562153092,105.6,1721193905.014,-0.4140625,1.6015625,0.0
-32718.27155092479,-10143.105606633811,105.6,1721193905.089,-0.4140625,1.6015625,0.0
-32718.271506241203,-10143.105610219714,105.6,1721193905.178,-0.4140625,1.6015625,0.0
-32718.271506241203,-10143.105610219714,105.6,1721193905.239,-0.4140625,1.6015625,0.0
-32718.27145904238,-10143.105467386624,105.6,1721193905.314,-0.4140625,1.6015625,0.0
-32718.27142055523,-10143.105483626658,105.6,1721193905.389,-0.4140625,1.6015625,0.0
-32718.27137268052,-10143.1054621335,105.6,1721193905.464,-0.4140625,1.6015625,0.0
-32718.27137268052,-10143.1054621335,105.6,1721193905.539,-0.4140625,1.6015625,0.0
-32718.2713348468,-10143.105467332052,105.6,1721193905.614,-0.4140625,1.6015625,0.0
-32718.271294243084,-10143.105524049031,105.6,1721193905.703,-0.4140625,1.6015625,0.0
-32718.271255137544,-10143.105495435291,105.6,1721193905.764,-0.4140625,1.6015625,0.0
-32718.271216507223,-10143.105476968678,105.6,1721193905.854,-0.4140625,1.6015625,0.0
-32718.271216507223,-10143.105476968678,105.6,1721193905.929,-0.4140625,1.6015625,0.0
-32718.27118487726,-10143.105416721848,105.6,1721193906.003,-0.4140625,1.6015625,0.0
-32718.27115334985,-10143.105442013504,105.6,1721193906.064,-0.4140625,1.6015625,0.0
-32718.27115334985,-10143.105442013504,105.6,1721193906.139,-0.4140625,1.6015625,0.0
-32718.271131208483,-10143.10559193494,105.5,1721193906.214,-0.4140625,1.6015625,0.0
-32718.271104618027,-10143.10562528723,105.6,1721193906.289,-0.4140625,1.6015625,0.0
-32718.271070548253,-10143.10554390418,105.6,1721193906.364,-0.4140625,1.6015625,0.0
-32718.271070548253,-10143.10554390418,105.6,1721193906.439,-0.4140625,1.6015625,0.0
-32718.27104779852,-10143.105473859652,105.6,1721193906.514,-0.4140625,1.6015625,0.0
-32718.27102973535,-10143.105385879022,105.6,1721193906.603,-0.4140625,1.6015625,0.0
-32718.271041253203,-10143.105552683215,105.6,1721193906.664,-0.4140625,1.6015625,0.0
-32718.271041253203,-10143.105552683215,105.5,1721193906.739,-0.4140625,1.6015625,0.0
-32718.27104220575,-10143.105524347771,105.6,1721193906.814,-0.4140625,1.6015625,0.0
-32718.271032732584,-10143.10547741696,105.5,1721193906.889,-0.4140625,1.6015625,0.0
-32718.271044241374,-10143.105572404556,105.5,1721193906.979,-0.4140625,1.6015625,0.0
-32718.271044241374,-10143.105572404556,105.5,1721193907.039,-0.4140625,1.6015625,0.0
-32718.27104534667,-10143.10558960974,105.5,1721193907.114,-0.4140625,1.6015625,0.0
-32718.271062054195,-10143.105766310297,105.5,1721193907.189,-0.4140625,1.6015625,0.0
-32718.271065622044,-10143.1058313857,105.5,1721193907.264,-0.4140625,1.6015625,0.0
-32718.271065622044,-10143.1058313857,105.5,1721193907.339,-0.4140625,1.6015625,0.0
-32718.27107694039,-10143.10583971153,105.5,1721193907.414,-0.4140625,1.6015625,0.0
-32718.271098105983,-10143.106050067923,105.5,1721193907.489,-0.4140625,1.6015625,0.0
-32718.27110051942,-10143.106199352624,105.5,1721193907.564,-0.4140625,1.6015625,0.0
-32718.27110051942,-10143.106199352624,105.5,1721193907.639,-0.4140625,1.6015625,0.0
-32718.27110050221,-10143.106151700638,105.5,1721193907.714,-0.4140625,1.6015625,0.0
-32718.271095791853,-10143.106181420868,105.5,1721193907.803,-0.4140625,1.6015625,0.0
-32718.27109195292,-10143.106198108164,105.5,1721193907.864,-0.4140625,1.6015625,0.0
-32718.27109195292,-10143.106198108164,105.5,1721193907.939,-0.4140625,1.6015625,0.0
-32718.27111311631,-10143.106400111074,105.5,1721193908.014,-0.4140625,1.6015625,0.0
-32718.27112027189,-10143.106364041034,105.5,1721193908.104,-0.4140625,1.6015625,0.0
-32718.271134604493,-10143.106521387412,105.5,1721193908.164,-0.4140625,1.6015625,0.0
-32718.271134604493,-10143.106521387412,105.5,1721193908.239,-0.4140625,1.6015625,0.0
-32718.27110827696,-10143.10653414362,105.5,1721193908.328,-0.4140625,1.6015625,0.0
-32718.271100132417,-10143.106612034537,105.5,1721193908.404,-0.4140625,1.6015625,0.0
-32718.271110030968,-10143.10670298303,105.6,1721193908.464,-0.4140625,1.6015625,0.0
-32718.271110030968,-10143.10670298303,105.6,1721193908.539,-0.4140625,1.6015625,0.0
-32718.27111074516,-10143.106856430564,105.5,1721193908.629,-0.4140625,1.6015625,0.0
-32718.2709881002,-10143.10650929036,105.5,1721193908.689,-0.4140625,1.6015625,0.0
-32718.270938802845,-10143.10584562722,105.4,1721193908.764,-0.4140625,1.6015625,0.0
-32718.202988471963,-10142.94169665935,105.9,1721193910.189,-0.4609375,1.59375,0.0
-32718.181447371207,-10142.935698465702,102.3,1721193910.264,-0.4453125,1.59375,0.0
-32718.140326697816,-10142.85438306832,110.0,1721193909.814,-0.640625,1.7421875,0.0
